gperf	3.2.1-1	install ok installed
gpg	2.4.7-21+deb13u1+b4	install ok installed
gpgconf	2.4.7-21+deb13u1+b4	install ok installed
gpgv	2.4.7-21+deb13u1+b4	install ok installed
gpiod	2.2.1-2+deb13u1	install ok installed
grep	3.11-4+b1	install ok installed
groff-base	1.23.0-9	install ok installed
groovy	2.4.21-10	install ok installed
gtk-update-icon-cache	4.18.6+ds-2	install ok installed
gzip	1.13-1	install ok installed
hicolor-icon-theme	0.18-2	install ok installed
hostname	3.25	install ok installed
htop	3.4.1-5	install ok installed
icu-devtools	76.1-4	install ok installed
init	1.69~deb13u1	install ok installed
initramfs-tools	0.148.4	install ok installed
initramfs-tools-bin	0.148.4	install ok installed
initramfs-tools-core	0.148.4	install ok installed
init-system-helpers	1.69~deb13u1	install ok installed
intltool-debian	0.35.0+20060710.6	install ok installed
iproute2	6.15.0-1	install ok installed
iputils-ping	3:20240905-3	install ok installed
ivy	2.5.3-1	install ok installed
iw	6.9-1+b1	install ok installed
java-common	0.76	install ok installed
jq	1.7.1-6+deb13u3	install ok installed
junit4	4.13.2-5	install ok installed
kbd	2.7.1-2	install ok installed
keyboard-configuration	1.242~deb13u1	install ok installed
klibc-utils	2.0.14-1	install ok installed
kmod	34.2-2	install ok installed
krb5-multidev	1.21.3-5+deb13u1	install ok installed
less	668-1	install ok installed
libabsl20240722	20240722.0-4	install ok installed
libacl1	2.3.2-2+b1	install ok installed
libantlr-java	2.7.7+dfsg-14	install ok installed
libaom3	3.12.1-1+deb13u1	install ok installed
libapache-pom-java	33-2	install ok installed
libapparmor1	4.1.0-1	install ok installed
libapt-pkg7.0	3.0.3	install ok installed
libarchive13t64	3.7.4-4+deb13u1	install ok installed
libarchive-zip-perl	1.68-1	install ok installed
libasan8	14.2.0-19	install ok installed
libasm-java	9.8-1	install ok installed
libasound2-data	1.2.14-1	install ok installed
libasound2-dev	1.2.14-1	install ok installed
libasound2t64	1.2.14-1	install ok installed
libass9	1:0.17.3-1+deb13u1	install ok installed
libass-dev	1:0.17.3-1+deb13u1	install ok installed
libassuan9	3.0.2-2	install ok installed
libasyncns0	0.8-6+b5	install ok installed
libatk1.0-0t64	2.56.2-1+deb13u1	install ok installed
libatk-bridge2.0-0t64	2.56.2-1+deb13u1	install ok installed
libatomic1	14.2.0-19	install ok installed
libatopology2t64	1.2.14-1	install ok installed
libatspi2.0-0t64	2.56.2-1+deb13u1	install ok installed
libattr1	1:2.5.2-3	install ok installed
libaudit1	1:4.0.2-2+b2	install ok installed
libaudit-common	1:4.0.2-2	install ok installed
libavahi-client3	0.8-16	install ok installed
libavahi-client-dev	0.8-16	install ok installed
libavahi-common3	0.8-16	install ok installed
libavahi-common-data	0.8-16	install ok installed
libavahi-common-dev	0.8-16	install ok installed
libavcodec61	7:7.1.5-0+deb13u1	install ok installed
libavcodec-dev	7:7.1.5-0+deb13u1	install ok installed
libavfilter10	7:7.1.5-0+deb13u1	install ok installed
libavfilter-dev	7:7.1.5-0+deb13u1	install ok installed
libavformat61	7:7.1.5-0+deb13u1	install ok installed
libavformat-dev	7:7.1.5-0+deb13u1	install ok installed
libavutil59	7:7.1.5-0+deb13u1	install ok installed
libavutil-dev	7:7.1.5-0+deb13u1	install ok installed
libbinutils	2.44-3	install ok installed
libblas3	3.12.1-6	install ok installed
libblkid1	2.41.5-0+deb13u1	install ok installed
libblkid-dev	2.41.5-0+deb13u1	install ok installed
libbluetooth3	5.82-1.1	install ok installed
libbluetooth-dev	5.82-1.1	install ok installed
libbluray2	1:1.3.4-1+b2	install ok installed
libbluray-dev	1:1.3.4-1+b2	install ok installed
libbpf1	1:1.5.0-3	install ok installed
libbrotli1	1.1.0-2+b7	install ok installed
libbrotli-dev	1.1.0-2+b7	install ok installed
libbs2b0	3.1.0+dfsg-8+b1	install ok installed
libbsd0	0.12.2-2	install ok installed
libbsf-java	1:2.4.0-8	install ok installed
libbz2-1.0	1.0.8-6	install ok installed
libbz2-dev	1.0.8-6	install ok installed
libc6	2.41-12+deb13u3	install ok installed
libc6-dev	2.41-12+deb13u3	install ok installed
libcaca0	0.99.beta20-5+deb13u1	install ok installed
libcairo2	1.18.4-1+b1	install ok installed
libcairo-gobject2	1.18.4-1+b1	install ok installed
libcap2	1:2.75-10+deb13u1+b1	install ok installed
libcap2-bin	1:2.75-10+deb13u1+b1	install ok installed
libcap-dev	1:2.75-10+deb13u1+b1	install ok installed
libcap-ng0	0.8.5-4+b1	install ok installed
libc-bin	2.41-12+deb13u3	install ok installed
libcbor0.10	0.10.2-2	install ok installed
libcc1-0	14.2.0-19	install ok installed
libc-dev-bin	2.41-12+deb13u3	install ok installed
libcdio19t64	2.2.0-4.1~deb13u1	install ok installed
libcdio++1t64	2.2.0-4.1~deb13u1	install ok installed
libcdio++-dev	2.2.0-4.1~deb13u1	install ok installed
libcdio-dev	2.2.0-4.1~deb13u1	install ok installed
libcec7	7.0.0-1+b1	install ok installed
libcec-dev	7.0.0-1+b1	install ok installed
libchromaprint1	1.5.1-7	install ok installed
libcjson1	1.7.18-3.1+deb13u1	install ok installed
libc-l10n	2.41-12+deb13u3	install ok installed
libclang1-19	1:19.1.7-3+b1	install ok installed
libclang-cpp19	1:19.1.7-3+b1	install ok installed
libcloudproviders0	0.3.6-2	install ok installed
libcodec2-1.2	1.2.0-3	install ok installed
libcolord2	1.4.7-3	install ok installed
libcom-err2	1.47.2-3+b11	install ok installed
libcommons-cli-java	1.6.0-1	install ok installed
libcommons-lang-java	2.6-10+deb13u1	install ok installed
libcommons-logging-java	1.3.0-2	install ok installed
libcommons-parent-java	56-1	install ok installed
libcrossguid0	0.0+git200150803-6+b2	install ok installed
libcrossguid-dev	0.0+git200150803-6+b2	install ok installed
libcrypt1	1:4.4.38-1	install ok installed
