adwaita-icon-theme  48.1-1
libfreetype-dev:arm64  2.13.3+dfsg-1+deb13u1
libfribidi0:arm64  1.0.16-1
libfribidi-dev:arm64  1.0.16-1
libfstrcmp0  0.7.D001-5
libfstrcmp-dev  0.7.D001-5
libgbm1:arm64  25.0.7-2+deb13u1
libgbm-dev:arm64  25.0.7-2+deb13u1
libgcrypt20-dev:arm64  1.11.0-7+deb13u1
libgdk-pixbuf-2.0-0:arm64  2.42.12+dfsg-4+deb13u1
libgdk-pixbuf2.0-common  2.42.12+dfsg-4+deb13u1
libgfortran5:arm64  14.2.0-19
libgif7:arm64  5.2.2-1+deb13u1
libgif-dev:arm64  5.2.2-1+deb13u1
libgio-2.0-dev:arm64  2.84.4-3~deb13u3
libgio-2.0-dev-bin  2.84.4-3~deb13u3
libgirepository-2.0-0:arm64  2.84.4-3~deb13u3
libgl1:arm64  1.7.0-1+b2
libgl1-mesa-dri:arm64  25.0.7-2+deb13u1
libgl-dev:arm64  1.7.0-1+b2
libgles1:arm64  1.7.0-1+b2
libgles2:arm64  1.7.0-1+b2
libgles-dev:arm64  1.7.0-1+b2
libglew2.2:arm64  2.2.0-4+b2
libglew-dev:arm64  2.2.0-4+b2
libglib2.0-bin  2.84.4-3~deb13u3
libglib2.0-data  2.84.4-3~deb13u3
libglib2.0-dev:arm64  2.84.4-3~deb13u3
libglib2.0-dev-bin  2.84.4-3~deb13u3
libglu1-mesa:arm64  9.0.2-1.1+b3
libglu1-mesa-dev:arm64  9.0.2-1.1+b3
libglvnd0:arm64  1.7.0-1+b2
libglvnd-core-dev:arm64  1.7.0-1+b2
libglvnd-dev:arm64  1.7.0-1+b2
libglx0:arm64  1.7.0-1+b2
libglx-dev:arm64  1.7.0-1+b2
libglx-mesa0:arm64  25.0.7-2+deb13u1
libgme0:arm64  0.6.3-7+b2
libgmp-dev:arm64  2:6.3.0+dfsg-3
libgmpxx4ldbl:arm64  2:6.3.0+dfsg-3
libgnutls28-dev:arm64  3.8.9-3+deb13u4
libgnutls-dane0t64:arm64  3.8.9-3+deb13u4
libgnutls-openssl27t64:arm64  3.8.9-3+deb13u4
libgpg-error-dev:arm64  1.51-4
