libgmp10:arm64  2:6.3.0+dfsg-3
libgnutls30t64:arm64  3.8.9-3+deb13u4
libgomp1:arm64  14.2.0-19
libgpg-error0:arm64  1.51-4
libgpiod3:arm64  2.2.1-2+deb13u1
libgpm2:arm64  1.20.7-11+b2
libgprofng0:arm64  2.44-3
libgssapi-krb5-2:arm64  1.21.3-5+deb13u1
libhogweed6t64:arm64  3.10.1-1
libhwasan0:arm64  14.2.0-19
libidn2-0:arm64  2.3.8-2
libiniparser4:arm64  4.2.6-1
libisl23:arm64  0.27-1
libitm1:arm64  14.2.0-19
libjansson4:arm64  2.14-2+b3
libjpeg62-turbo:arm64  1:2.1.5-4
libjq1:arm64  1.7.1-6+deb13u3
libjsoncpp26:arm64  1.9.6-3
libk5crypto3:arm64  1.21.3-5+deb13u1
libkeyutils1:arm64  1.6.3-6
libklibc:arm64  2.0.14-1
libkmod2:arm64  34.2-2
libkrb5-3:arm64  1.21.3-5+deb13u1
libkrb5support0:arm64  1.21.3-5+deb13u1
libksba8:arm64  1.6.7-2+b1
liblastlog2-2:arm64  2.41.5-0+deb13u1
libldap2:arm64  2.6.10+dfsg-1
liblocale-gettext-perl  1.07-7+b1
liblognorm5:arm64  2.0.6-5
liblsan0:arm64  14.2.0-19
liblsof0  4.99.4+dfsg-2
liblz4-1:arm64  1.10.0-4
liblzma5:arm64  5.8.1-1+deb13u1
liblzo2-2:arm64  2.10-3+b1
libmd0:arm64  1.1.0-2+b1
libmnl0:arm64  1.0.5-3
libmount1:arm64  2.41.5-0+deb13u1
libmpc3:arm64  1.3.1-1+b3
libmpfr6:arm64  4.2.2-1
libncursesw6:arm64  6.5+20250216-2
libnetplan1:arm64  1.1.2-7
libnettle8t64:arm64  3.10.1-1
libnewt0.52:arm64  0.52.25-1
libnghttp2-14:arm64  1.64.0-1.1+deb13u1
libnghttp3-9:arm64  1.8.0-1
libngtcp2-16:arm64  1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:arm64  1.11.0-1+deb13u1
libnl-3-200:arm64  3.7.0-2
libnl-genl-3-200:arm64  3.7.0-2
libnl-route-3-200:arm64  3.7.0-2
libnpth0t64:arm64  1.8-3
libntfs-3g89t64:arm64  1:2022.10.3-5+deb13u2
libonig5:arm64  6.9.9-1+b1
libp11-kit0:arm64  0.25.5-3
libpam0g:arm64  1.7.0-5
libpam-modules:arm64  1.7.0-5
libpam-modules-bin  1.7.0-5
libpam-runtime  1.7.0-5
libpam-systemd:arm64  257.13-1~deb13u1
libparted2t64:arm64  3.6-5
libpci3:arm64  1:3.13.0-2
libpciaccess0:arm64  0.17-3+b3
libpciaccess-dev:arm64  0.17-3+b3
libpcre2-8-0:arm64  10.46-1~deb13u1
libpcsclite1:arm64  2.3.3-1
libperl5.40:arm64  5.40.1-6
libpipeline1:arm64  1.5.8-1
libpkgconf3:arm64  1.8.1-4
libpopt0:arm64  1.19+dfsg-2
libproc2-0:arm64  2:4.0.4-9
libpsl5t64:arm64  0.21.2-1.1+b1
libpython3.13-minimal:arm64  3.13.5-2+deb13u4
libpython3.13-stdlib:arm64  3.13.5-2+deb13u4
libpython3-stdlib:arm64  3.13.5-1
libreadline8t64:arm64  8.2-6
libreiserfscore0t64  1:3.6.27-9
librhash1:arm64  1.4.5-1
librtmp1:arm64  2.4+20151223.gitfa8646d.1-2+b5
libsamplerate0:arm64  0.2.2-4+b2
libsasl2-2:arm64  2.1.28+dfsg1-9
libsasl2-modules-db:arm64  2.1.28+dfsg1-9
libseccomp2:arm64  2.6.0-2
libselinux1:arm64  3.8.1-1
libsemanage2:arm64  3.8.1-1
libsemanage-common  3.8.1-1
libsepol2:arm64  3.8.1-1
libsframe1:arm64  2.44-3
libslang2:arm64  2.3.3-5+b2
libsmartcols1:arm64  2.41.5-0+deb13u1
libsodium23:arm64  1.0.18-1+deb13u1
libsqlite3-0:arm64  3.46.1-7+deb13u1
libsrt1.5-openssl:arm64  1.5.4-1+deb13u1
libsrt-openssl-dev:arm64  1.5.4-1+deb13u1
libss2:arm64  1.47.2-3+b11
libssh2-1t64:arm64  1.11.1-1+deb13u1
libssl3t64:arm64  3.5.7-1~deb13u2
libssl-dev:arm64  3.5.7-1~deb13u2
libstdc++-14-dev:arm64  14.2.0-19
libstdc++6:arm64  14.2.0-19
libsystemd0:arm64  257.13-1~deb13u1
libsystemd-shared:arm64  257.13-1~deb13u1
libtasn1-6:arm64  4.20.0-2+deb13u1
libtcl8.6:arm64  8.6.16+dfsg-1
libtext-charwidth-perl:arm64  0.04-11+b4
libtext-iconv-perl:arm64  1.7-8+b4
libtext-wrapi18n-perl  0.06-10
libtinfo6:arm64  6.5+20250216-2
libtirpc3t64:arm64  1.3.6+ds-1
libtirpc-common  1.3.6+ds-1
libtsan2:arm64  14.2.0-19
libubsan1:arm64  14.2.0-19
libuchardet0:arm64  0.0.8-1+b2
libudev1:arm64  257.13-1~deb13u1
libunistring5:arm64  1.3-2
libusb-1.0-0:arm64  2:1.0.28-1
libuuid1:arm64  2.41.5-0+deb13u1
libuv1t64:arm64  1.50.0-2
libv4l-0t64:arm64  1.30.1-1
libv4l2rds0t64:arm64  1.30.1-1
libv4lconvert0t64:arm64  1.30.1-1
libwrap0:arm64  7.6.q-36
libwtmpdb0:arm64  0.73.0-3+deb13u1
libxml2:arm64  2.12.7+dfsg+really2.9.14-2.1+deb13u3
libxtables12:arm64  1.8.11-2
libxxhash0:arm64  0.8.3-2
libyaml-0-2:arm64  0.2.5-2
libzstd1:arm64  1.5.7+dfsg-1
libzstd-dev:arm64  1.5.7+dfsg-1
linux-base  4.12.1
linux-dtb-vendor-rk35xx  26.11.0-trunk.35
linux-headers-vendor-rk35xx  26.11.0-trunk.35
linux-image-vendor-rk35xx  26.11.0-trunk.35
linux-libc-dev  6.12.107-1
linux-u-boot-orangepi5-ultra-vendor  26.11.0-trunk.35
locales  2.41-12+deb13u3
login  1:4.16.0-2+really2.41.5-0+deb13u1
login.defs  1:4.17.4-2
logrotate  3.22.0-1+b2
logsave  1.47.2-3+b11
lsb-release  12.1-1
lsof  4.99.4+dfsg-2
m4  1.4.19-8
make  4.4.1-2
man-db  2.13.1-1
mawk  1.3.4.20250131-1
media-types  13.0.0
meson  1.7.0-1
mmc-utils  0+git20240329.f757f413-1+b1
mount  2.41.5-0+deb13u1
mtd-utils  1:2.3.0-1
nano  8.4-1+deb13u1
nasm  2.16.03-1
ncurses-base  6.5+20250216-2
ncurses-bin  6.5+20250216-2
ncurses-term  6.5+20250216-2
netbase  6.5
netplan-generator  1.1.2-7
netplan.io  1.1.2-7
ninja-build  1.12.1-1+b1
ntfs-3g  1:2022.10.3-5+deb13u2
openssh-client  1:10.0p1-7+deb13u4
openssh-server  1:10.0p1-7+deb13u4
openssh-sftp-server  1:10.0p1-7+deb13u4
openssl  3.5.7-1~deb13u2
openssl-provider-legacy  3.5.7-1~deb13u2
pahole  1.30-1
parted  3.6-5
passwd  1:4.17.4-2
patch  2.8-2
pci.ids  0.0~2025.06.09-1
pciutils  1:3.13.0-2
perl  5.40.1-6
perl-base  5.40.1-6
perl-modules-5.40  5.40.1-6
pkgconf:arm64  1.8.1-4
pkgconf-bin  1.8.1-4
pkg-config:arm64  1.8.1-4
procps  2:4.0.4-9
psmisc  23.7-2
pv  1.9.31-1
python3.13  3.13.5-2+deb13u4
python3.13-minimal  3.13.5-2+deb13u4
python3  3.13.5-1
python3-autocommand  2.2.2-3
python3-cffi-backend:arm64  1.17.1-3
python3-inflect  7.3.1-2
python3-jaraco.context  6.0.1-1+deb13u1
python3-jaraco.functools  4.1.0-1
python3-jaraco.text  4.0.0-1
python3-minimal  3.13.5-1
python3-more-itertools  10.7.0-1
python3-netplan  1.1.2-7
python3-pkg-resources  78.1.1-0.1
python3-setuptools  78.1.1-0.1
python3-typeguard  4.4.2-1
python3-typing-extensions  4.13.2-1
python3-yaml  6.0.2-1+b2
python3-zipp  3.21.0-1
readline-common  8.2-6
rpcsvc-proto  1.4.3-1+b1
rsync  3.4.1+ds1-5+deb13u4
rsyslog  8.2504.0-1
runit-helper  2.16.4
sed  4.9-2+deb13u1
sensible-utils  0.0.25
sqv  1.3.0-3+b2
sudo  1.9.16p2-3+deb13u2
systemd  257.13-1~deb13u1
systemd-resolved  257.13-1~deb13u1
systemd-sysv  257.13-1~deb13u1
systemd-timesyncd  257.13-1~deb13u1
sysvinit-utils  3.14-4
tar  1.35+dfsg-3.1
tcl8.6  8.6.16+dfsg-1
tcl-expect:arm64  5.45.4-4
toilet  0.3-3
toilet-fonts  0.3-3
tree  2.2.1-1
tzdata  2026b-0+deb13u1
u-boot-tools  2025.01-3
ucf  3.0052
udev  257.13-1~deb13u1
usbutils  1:018-2
util-linux  2.41.5-0+deb13u1
v4l2loopback-dkms  0.15.0-2
v4l2loopback-utils  0.15.0-2
v4l-utils  1.30.1-1
vim  2:9.1.1230-2
vim-common  2:9.1.1230-2
vim-runtime  2:9.1.1230-2
wget  1.25.0-2
whiptail  0.52.25-1
wireguard-tools  1.0.20210914-3
wireless-regdb  2026.05.30-1~deb13u1
wpasupplicant  2:2.10-24
xkb-data  2.42-1
xz-utils  5.8.1-1+deb13u1
zlib1g:arm64  1:1.3.dfsg+really1.3.1-1+b1
zlib1g-dev:arm64  1:1.3.dfsg+really1.3.1-1+b1
